category,block_id,respondent,n_analogs,n_pairs,pairwise_accuracy,spearman,recall_at_1,recall_at_3
Bacon,0,131,5,10,0.7,0.5773502691896257,0.5,1.0
Bacon,0,132,5,10,0.1,-0.9486832980505138,0.0,0.0
Bacon,0,133,5,10,0.75,0.6155870112510925,1.0,1.0
Bacon,0,136,5,10,0.45,-0.20519567041703082,0.0,1.0
Bacon,0,137,5,10,0.2,-0.8660254037844386,0.0,0.3333333333333333
Bacon,0,141,5,10,0.65,0.35909242322980395,1.0,1.0
Bacon,0,142,5,10,0.65,0.35909242322980395,1.0,1.0
Bacon,0,144,5,10,0.55,0.22360679774997894,1.0,1.0
Bacon,0,145,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,0,146,5,10,0.75,0.7826237921249264,0.0,1.0
Bacon,0,147,5,10,0.35,-0.5642880936468347,0.0,0.0
Bacon,0,148,5,10,0.45,-0.22360679774997894,0.0,1.0
Bacon,0,149,5,10,0.65,0.5642880936468347,0.0,1.0
Bacon,0,150,5,10,0.4,-0.35355339059327373,0.0,0.5
Bacon,0,152,5,10,0.65,0.5642880936468347,0.0,1.0
Bacon,0,153,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,0,154,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,0,156,5,10,0.45,-0.10259783520851541,0.0,0.0
Bacon,0,157,5,10,0.85,0.8720815992723809,0.0,1.0
Bacon,0,158,5,10,0.6,0.28867513459481287,0.0,0.3333333333333333
Bacon,0,159,5,10,0.5,0.0,0.0,0.0
Bacon,0,161,5,10,0.55,0.11180339887498947,0.0,0.3333333333333333
Bacon,0,162,5,10,0.5,,0.2,0.6
Bacon,0,163,5,10,0.6,0.28867513459481287,0.0,0.3333333333333333
Bacon,0,164,5,10,0.75,0.7181848464596079,0.0,1.0
Bacon,0,165,5,10,0.4,-0.3689323936863109,0.0,1.0
Bacon,0,166,5,10,0.5,0.0,0.0,0.3333333333333333
Bacon,0,167,5,10,0.5,0.0,0.0,0.5
Bacon,0,169,5,10,0.55,0.22360679774997894,1.0,1.0
Bacon,0,170,5,10,0.7,0.6324555320336759,0.0,1.0
Bacon,0,171,5,10,0.7,0.6324555320336759,0.0,1.0
Bacon,0,172,5,10,0.5,0.0,0.0,0.5
Bacon,0,173,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,0,174,5,10,0.5,,0.2,0.6
Bacon,0,177,5,10,0.5,-0.05270462766947298,0.0,0.0
Bacon,0,183,5,10,0.85,0.8944271909999157,1.0,1.0
Bacon,0,186,5,10,0.75,0.7826237921249264,0.0,1.0
Bacon,0,188,5,10,0.7,0.6324555320336759,0.5,1.0
Bacon,0,189,5,10,0.65,0.5642880936468347,0.0,1.0
Bacon,0,191,5,10,0.65,0.5642880936468347,0.5,1.0
Bacon,1,4,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,1,6,5,10,0.45,-0.22360679774997894,0.0,0.0
Bacon,1,7,5,10,0.85,0.8944271909999157,0.3333333333333333,1.0
Bacon,1,8,5,10,0.5,0.0,0.5,1.0
Bacon,1,9,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Bacon,1,10,5,10,0.85,0.8207826816681233,0.5,1.0
Bacon,1,11,5,10,0.5,,0.2,0.6
Bacon,1,12,5,10,0.7,0.5270462766947299,0.0,0.5
Bacon,1,14,5,10,0.4,-0.31622776601683794,0.0,0.0
Bacon,1,15,5,10,0.85,0.8207826816681233,0.0,1.0
Bacon,1,16,5,10,0.5,0.0,0.25,0.75
Bacon,1,19,5,10,0.55,0.051298917604257706,0.5,1.0
Bacon,1,20,5,10,0.95,0.9746794344808964,1.0,1.0
Bacon,1,21,5,10,0.8,0.7905694150420948,0.0,1.0
Bacon,1,23,5,10,0.75,0.7181848464596079,0.0,1.0
Bacon,1,25,5,10,0.55,0.22360679774997894,0.0,0.6666666666666666
Bacon,1,27,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Bacon,1,28,5,10,0.7,0.5797509043642028,0.0,1.0
Bacon,1,29,5,10,0.4,-0.28867513459481287,0.0,0.3333333333333333
Bacon,1,30,5,10,0.8,0.8660254037844386,0.5,1.0
Bacon,1,32,5,10,0.55,0.30779350562554625,0.0,0.5
Bacon,1,33,5,10,0.4,-0.31622776601683794,0.0,1.0
Bacon,1,35,5,10,0.85,0.8720815992723809,0.5,1.0
Bacon,1,36,5,10,0.5,0.0,0.0,0.0
Bacon,1,40,5,10,0.55,0.15389675281277312,0.0,1.0
Bacon,1,41,5,10,0.45,-0.22360679774997894,0.0,0.6666666666666666
Bacon,1,43,5,10,0.5,,0.2,0.6
Bacon,1,44,5,10,0.65,0.44721359549995787,0.0,1.0
Bacon,1,45,5,10,0.5,0.0,0.0,0.5
Bacon,1,50,5,10,0.75,0.6155870112510925,0.0,1.0
Bacon,1,52,5,10,0.4,-0.26352313834736496,0.0,0.0
Bacon,1,55,5,10,0.25,-0.6708203932499368,0.0,0.0
Bacon,1,57,5,10,0.25,-0.6708203932499368,0.0,0.0
Bacon,1,59,5,10,0.35,-0.3354101966249684,0.0,0.3333333333333333
Bacon,1,60,5,10,0.8,0.7,1.0,1.0
Bacon,1,63,5,10,0.9,0.9486832980505138,1.0,1.0
Bacon,1,64,5,10,0.35,-0.44721359549995787,0.0,0.0
Bacon,1,65,5,10,0.7,0.39999999999999997,0.0,1.0
Bacon,1,66,5,10,0.7,0.5773502691896257,0.3333333333333333,1.0
Bacon,1,68,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Bacon,1,70,5,10,0.8,0.8660254037844386,0.5,1.0
Bacon,1,71,5,10,0.55,0.11180339887498947,0.0,0.3333333333333333
Bacon,1,73,5,10,0.8,0.8660254037844386,0.5,1.0
Bacon,1,76,5,10,0.75,0.6708203932499368,1.0,1.0
Bacon,1,78,5,10,0.45,-0.22360679774997894,0.0,0.3333333333333333
Bacon,1,79,5,10,0.65,0.44721359549995787,0.0,1.0
Bacon,1,80,5,10,0.5,,0.2,0.6
Bacon,1,82,5,10,0.7,0.5797509043642028,0.5,1.0
Bacon,1,84,5,10,0.6,0.28867513459481287,0.3333333333333333,1.0
Bacon,1,85,5,10,0.4,-0.35355339059327373,0.0,0.5
Bacon,1,86,5,10,0.85,0.8944271909999157,1.0,1.0
Bacon,1,87,5,10,0.5,,0.2,0.6
Bacon,1,88,5,10,0.5,0.0,0.0,0.5
Bacon,1,89,5,10,0.25,-0.6708203932499368,0.0,0.3333333333333333
Bacon,1,90,5,10,0.45,-0.20519567041703082,0.0,0.0
Bacon,1,94,5,10,0.5,0.0,0.0,1.0
Bacon,1,95,5,10,0.2,-0.8660254037844386,0.0,0.3333333333333333
Bacon,1,96,5,10,0.75,0.6668859288553501,0.0,1.0
Bacon,1,98,5,10,0.6,0.31622776601683794,0.0,1.0
Bacon,1,101,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Bacon,1,102,5,10,0.4,0.0,0.0,0.0
Bacon,1,103,5,10,0.4,-0.28867513459481287,0.0,0.3333333333333333
Bacon,1,106,5,10,0.85,0.8944271909999157,1.0,1.0
Bacon,1,108,5,10,0.7,0.5270462766947299,0.5,1.0
Bacon,1,114,5,10,0.65,0.44721359549995787,1.0,1.0
Bacon,1,117,5,10,0.65,0.44721359549995787,0.3333333333333333,1.0
Bacon,1,120,5,10,0.55,0.15389675281277312,0.0,1.0
Bacon,1,123,5,10,0.75,0.6668859288553501,1.0,1.0
Bacon,1,125,5,10,0.15,-0.8720815992723809,0.0,0.0
Bacon,1,127,5,10,0.35,-0.5642880936468347,0.0,1.0
Bacon,1,134,5,10,0.85,0.8207826816681233,0.0,1.0
Bacon,1,135,5,10,0.35,-0.3354101966249684,0.0,0.3333333333333333
Bacon,1,138,5,10,0.65,0.44721359549995787,0.0,1.0
Bacon,1,139,5,10,0.7,0.5797509043642028,0.0,1.0
Bacon,1,140,5,10,0.9,0.9486832980505138,1.0,1.0
Bacon,1,143,5,10,0.5,,0.2,0.6
Bacon,1,151,5,10,0.7,0.5797509043642028,0.0,1.0
Bacon,1,155,5,10,0.5,0.0,0.5,1.0
Bacon,1,160,5,10,0.75,0.6708203932499368,0.0,0.6666666666666666
Bacon,1,168,5,10,0.4,-0.35355339059327373,0.0,0.5
Bacon,1,175,5,10,0.45,-0.22360679774997894,0.0,0.6666666666666666
Bacon,1,176,5,10,0.85,0.8944271909999157,1.0,1.0
Bacon,1,178,5,10,0.5,0.0,0.0,0.5
Bacon,1,179,5,10,0.7,0.6324555320336759,0.5,1.0
Bacon,1,180,5,10,0.75,0.6708203932499368,1.0,1.0
Bacon,1,181,5,10,0.6,0.26352313834736496,0.0,1.0
Bacon,1,182,5,10,0.65,0.20519567041703082,0.0,0.0
Bacon,1,184,5,10,0.25,-0.7826237921249264,0.0,0.3333333333333333
Bacon,1,185,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,1,187,5,10,0.75,0.7826237921249264,0.0,1.0
Bacon,1,190,5,10,0.6,0.21081851067789192,0.0,1.0
Bacon,1,192,5,10,0.35,-0.5642880936468347,0.0,0.0
Barista_Milk,0,1,5,10,0.55,0.11180339887498947,0.3333333333333333,1.0
Barista_Milk,0,2,5,10,0.6,0.28867513459481287,0.0,0.3333333333333333
Barista_Milk,0,4,5,10,0.85,0.8944271909999157,1.0,1.0
Barista_Milk,0,5,5,10,0.85,0.8720815992723809,0.0,1.0
Barista_Milk,0,6,5,10,0.65,0.44721359549995787,0.0,1.0
Barista_Milk,0,8,5,10,0.65,0.5642880936468347,0.0,1.0
Barista_Milk,0,9,5,10,0.4,-0.28867513459481287,0.0,0.0
Barista_Milk,0,11,5,10,0.7,0.4743416490252569,0.5,1.0
Barista_Milk,0,12,5,10,0.55,0.22360679774997894,0.0,0.0
Barista_Milk,0,13,5,10,0.5,0.0,0.3333333333333333,1.0
Barista_Milk,0,14,5,10,0.8,0.7905694150420948,0.5,1.0
Barista_Milk,0,16,5,10,0.7,0.6,0.0,1.0
Barista_Milk,0,17,5,10,0.75,0.6155870112510925,1.0,1.0
Barista_Milk,0,22,5,10,0.9,0.9486832980505138,1.0,1.0
Barista_Milk,0,23,5,10,0.7,0.5270462766947299,0.0,0.5
Barista_Milk,0,24,5,10,0.4,-0.35355339059327373,0.0,0.5
Barista_Milk,0,26,5,10,0.55,0.15389675281277312,0.0,0.5
Barista_Milk,0,27,5,10,0.5,0.0,0.25,0.75
Barista_Milk,0,28,5,10,0.55,0.20519567041703082,0.0,1.0
Barista_Milk,0,31,5,10,0.65,0.30779350562554625,0.5,1.0
Barista_Milk,0,33,5,10,0.65,0.44721359549995787,0.3333333333333333,1.0
Barista_Milk,0,36,5,10,0.45,-0.11180339887498947,0.0,0.0
Barista_Milk,0,37,5,10,0.7,0.7071067811865475,0.25,0.75
Barista_Milk,0,39,5,10,0.8,0.7378647873726218,1.0,1.0
Barista_Milk,0,40,5,10,0.65,0.5642880936468347,0.0,1.0
Barista_Milk,0,41,5,10,0.8,0.7,1.0,1.0
Barista_Milk,0,44,5,10,0.55,0.10259783520851541,0.0,1.0
Barista_Milk,0,45,5,10,0.85,0.8720815992723809,0.5,1.0
Barista_Milk,0,47,5,10,0.75,0.6155870112510925,0.5,1.0
Barista_Milk,0,48,5,10,0.7,0.5270462766947299,1.0,1.0
Barista_Milk,0,49,5,10,0.45,0.051298917604257706,1.0,1.0
Barista_Milk,0,52,5,10,0.8,0.7,1.0,1.0
Barista_Milk,0,53,5,10,0.5,,0.2,0.6
Barista_Milk,0,54,5,10,0.5,0.0,0.5,1.0
Barista_Milk,0,55,5,10,0.9,0.9486832980505138,1.0,1.0
Barista_Milk,0,56,5,10,0.5,-0.05270462766947298,0.0,0.0
Barista_Milk,0,92,5,10,0.2,-0.7,0.0,1.0
Barista_Milk,0,94,5,10,0.6,0.31622776601683794,1.0,1.0
Barista_Milk,0,95,5,10,0.7,0.6,0.0,1.0
Barista_Milk,0,96,5,10,0.8,0.7378647873726218,0.5,1.0
Barista_Milk,0,97,5,10,0.45,-0.22360679774997894,0.0,0.6666666666666666
Barista_Milk,0,98,5,10,0.75,0.6668859288553501,1.0,1.0
Barista_Milk,0,99,5,10,0.5,0.0,0.25,0.75
Barista_Milk,0,100,5,10,0.9,0.8999999999999998,1.0,1.0
Barista_Milk,0,101,5,10,0.7,0.7071067811865475,1.0,1.0
Barista_Milk,0,102,5,10,0.9,0.9486832980505138,0.5,1.0
Barista_Milk,0,103,5,10,0.35,-0.41039134083406165,0.0,0.0
Barista_Milk,0,104,5,10,0.65,0.41039134083406165,0.0,0.5
Barista_Milk,0,105,5,10,0.65,0.35909242322980395,0.0,1.0
Barista_Milk,0,106,5,10,0.6,0.28867513459481287,0.5,1.0
Barista_Milk,0,107,5,10,0.6,0.28867513459481287,0.3333333333333333,1.0
Barista_Milk,0,111,5,10,0.8,0.8660254037844386,0.3333333333333333,1.0
Barista_Milk,0,112,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Barista_Milk,0,113,5,10,0.7,0.6324555320336759,0.5,1.0
Barista_Milk,0,114,5,10,0.35,-0.41039134083406165,0.0,1.0
Barista_Milk,0,115,5,10,0.8,0.7378647873726218,1.0,1.0
Barista_Milk,0,116,5,10,0.65,0.41039134083406165,0.5,1.0
Barista_Milk,0,117,5,10,0.65,0.20519567041703082,0.5,1.0
Barista_Milk,0,119,5,10,0.25,-0.6708203932499368,0.0,0.3333333333333333
Barista_Milk,0,120,5,10,0.8,0.8660254037844386,0.5,1.0
Barista_Milk,0,122,5,10,0.9,0.8999999999999998,1.0,1.0
Barista_Milk,0,124,5,10,0.45,-0.11180339887498947,0.0,0.3333333333333333
Barista_Milk,0,128,5,10,0.85,0.8944271909999157,0.3333333333333333,1.0
Barista_Milk,0,131,5,10,0.7,0.7071067811865475,0.25,0.75
Barista_Milk,0,134,5,10,0.8,0.7378647873726218,1.0,1.0
Barista_Milk,0,135,5,10,0.85,0.8720815992723809,0.5,1.0
Barista_Milk,0,136,5,10,0.65,0.35909242322980395,0.0,1.0
Barista_Milk,0,137,5,10,0.85,0.8944271909999157,0.3333333333333333,1.0
Barista_Milk,0,141,5,10,0.45,-0.22360679774997894,0.0,0.0
Barista_Milk,0,146,5,10,0.75,0.7826237921249264,0.3333333333333333,1.0
Barista_Milk,0,147,5,10,0.75,0.6668859288553501,0.5,1.0
Barista_Milk,0,148,5,10,0.7,0.7071067811865475,1.0,1.0
Barista_Milk,0,149,5,10,0.7,0.49999999999999994,0.0,1.0
Barista_Milk,0,151,5,10,0.5,,0.2,0.6
Barista_Milk,0,153,5,10,0.2,-0.8660254037844386,0.0,0.0
Barista_Milk,0,154,5,10,0.25,-0.6155870112510925,0.0,0.0
Barista_Milk,0,155,5,10,0.45,-0.20519567041703082,0.0,1.0
Barista_Milk,0,157,5,10,0.45,-0.20519567041703082,0.0,0.0
Barista_Milk,0,163,5,10,0.65,0.35909242322980395,1.0,1.0
Barista_Milk,0,170,5,10,0.75,0.5642880936468347,1.0,1.0
Barista_Milk,0,171,5,10,0.7,0.6324555320336759,0.0,1.0
Barista_Milk,0,172,5,10,0.4,-0.28867513459481287,0.0,0.3333333333333333
Barista_Milk,0,173,5,10,0.25,-0.6668859288553501,0.0,0.0
Barista_Milk,0,174,5,10,0.65,0.35909242322980395,0.5,1.0
Barista_Milk,0,176,5,10,0.75,0.6668859288553501,1.0,1.0
Barista_Milk,0,177,5,10,0.85,0.8207826816681233,0.0,1.0
Barista_Milk,0,178,5,10,0.85,0.8720815992723809,1.0,1.0
Barista_Milk,0,179,5,10,0.8,0.7999999999999999,1.0,1.0
Barista_Milk,0,180,5,10,0.45,-0.20519567041703082,0.0,1.0
Barista_Milk,0,181,5,10,0.3,-0.49999999999999994,0.0,1.0
Barista_Milk,0,183,5,10,0.8,0.7378647873726218,0.5,1.0
Barista_Milk,0,186,5,10,0.55,0.051298917604257706,0.0,1.0
Barista_Milk,0,187,5,10,0.7,0.7071067811865475,0.25,0.75
Barista_Milk,0,190,5,10,0.65,0.41039134083406165,0.0,0.5
Barista_Milk,0,193,5,10,0.45,-0.10259783520851541,0.0,1.0
Barista_Milk,0,194,5,10,0.75,0.5642880936468347,0.5,1.0
Barista_Milk,0,196,5,10,0.45,-0.11180339887498947,0.3333333333333333,1.0
Barista_Milk,0,197,5,10,0.75,0.6708203932499368,0.3333333333333333,1.0
Barista_Milk,0,198,5,10,0.45,-0.10259783520851541,0.0,1.0
Barista_Milk,0,199,5,10,0.45,-0.22360679774997894,0.0,1.0
Barista_Milk,0,203,5,10,0.7,0.6324555320336759,0.5,1.0
Barista_Milk,0,204,5,10,0.65,0.44721359549995787,0.3333333333333333,1.0
Barista_Milk,0,205,5,10,0.75,0.7826237921249264,0.3333333333333333,1.0
Barista_Milk,0,207,5,10,0.7,0.7071067811865475,1.0,1.0
Barista_Milk,0,208,5,10,0.7,0.5797509043642028,0.5,1.0
Barista_Milk,0,209,5,10,0.75,0.6668859288553501,0.5,1.0
Barista_Milk,0,210,5,10,0.65,0.35909242322980395,0.0,1.0
Barista_Milk,0,211,5,10,0.5,0.05270462766947298,0.0,1.0
Barista_Milk,1,3,5,10,0.6,0.3,0.0,0.0
Barista_Milk,1,7,5,10,0.85,0.8947368421052632,0.0,1.0
Barista_Milk,1,10,5,10,0.75,0.6708203932499368,0.3333333333333333,1.0
Barista_Milk,1,15,5,10,0.25,-0.6708203932499368,0.0,0.0
Barista_Milk,1,18,5,10,0.55,0.1480872194397731,0.5,1.0
Barista_Milk,1,19,5,10,0.15,-0.8207826816681233,0.0,0.0
Barista_Milk,1,20,5,10,0.7,0.6488856845230502,0.5,1.0
Barista_Milk,1,21,5,10,0.25,-0.6708203932499368,0.0,0.0
Barista_Milk,1,25,5,10,0.7,0.5773502691896257,0.3333333333333333,1.0
Barista_Milk,1,29,5,10,0.45,-0.10259783520851541,0.0,0.0
Barista_Milk,1,30,5,10,0.4,-0.35355339059327373,0.0,0.5
Barista_Milk,1,32,5,10,0.4,-0.3,0.0,0.0
Barista_Milk,1,34,5,10,0.6,0.26352313834736496,0.0,1.0
Barista_Milk,1,35,5,10,0.65,0.41039134083406165,0.0,1.0
Barista_Milk,1,38,5,10,0.8,0.7894736842105264,1.0,1.0
Barista_Milk,1,42,5,10,0.5,0.0,0.0,0.0
Barista_Milk,1,43,5,10,0.55,0.22360679774997894,0.0,0.6666666666666666
Barista_Milk,1,46,5,10,0.65,0.36842105263157904,0.0,0.0
Barista_Milk,1,50,5,10,0.85,0.8720815992723809,0.5,1.0
Barista_Milk,1,51,5,10,0.55,0.10259783520851541,0.0,0.0
Barista_Milk,1,57,5,10,0.5,0.0,0.0,0.0
Barista_Milk,1,58,5,10,0.55,0.30779350562554625,0.0,1.0
Barista_Milk,1,59,5,10,0.25,-0.6708203932499368,0.0,0.0
Barista_Milk,1,60,5,10,0.5,0.0,0.0,0.3333333333333333
Barista_Milk,1,61,5,10,0.55,0.20519567041703082,0.0,0.0
Barista_Milk,1,62,5,10,0.5,0.0,0.25,0.75
Barista_Milk,1,63,5,10,0.75,0.675922588044844,1.0,1.0
Barista_Milk,1,64,5,10,0.6,0.2894736842105264,0.0,1.0
Barista_Milk,1,65,5,10,0.4,-0.3,0.0,0.0
Barista_Milk,1,66,5,10,0.8,0.8885233166386386,0.5,1.0
Barista_Milk,1,67,5,10,0.6,0.37851664930511264,0.0,1.0
Barista_Milk,1,68,5,10,0.6,0.2961744388795462,0.3333333333333333,1.0
Barista_Milk,1,69,5,10,0.45,-0.22941573387056177,0.0,0.0
Barista_Milk,1,70,5,10,0.7,0.5797509043642028,0.0,1.0
Barista_Milk,1,71,5,10,0.8,0.7905694150420948,0.5,1.0
Barista_Milk,1,72,5,10,0.4,-0.3,0.0,0.0
Barista_Milk,1,73,5,10,0.55,0.22360679774997894,0.0,0.6666666666666666
Barista_Milk,1,74,5,10,0.65,0.4325904563487001,0.5,1.0
Barista_Milk,1,75,5,10,0.35,-0.4442616583193193,0.3333333333333333,1.0
Barista_Milk,1,76,5,10,0.6,0.31622776601683794,0.0,0.5
Barista_Milk,1,77,5,10,0.65,0.35909242322980395,0.0,1.0
Barista_Milk,1,78,5,10,0.85,0.8720815992723809,0.5,1.0
Barista_Milk,1,79,5,10,0.7,0.5000000000000001,0.5,1.0
Barista_Milk,1,80,5,10,0.7,0.6488856845230502,0.5,1.0
Barista_Milk,1,81,5,10,0.55,0.22360679774997894,0.0,0.6666666666666666
Barista_Milk,1,82,5,10,0.9,0.9733285267845754,1.0,1.0
Barista_Milk,1,83,5,10,0.5,0.09999999999999999,0.0,0.0
Barista_Milk,1,84,5,10,0.7,0.49999999999999994,0.0,1.0
Barista_Milk,1,85,5,10,0.35,-0.20519567041703082,0.0,0.0
Barista_Milk,1,86,5,10,0.6,0.26315789473684215,0.0,1.0
Barista_Milk,1,87,5,10,0.25,-0.6708203932499368,0.0,0.0
Barista_Milk,1,88,5,10,0.9,0.9733285267845753,0.5,1.0
Barista_Milk,1,89,5,10,0.65,0.46169025843831935,0.0,1.0
Barista_Milk,1,90,5,10,0.75,0.6882472016116853,0.0,0.6666666666666666
Barista_Milk,1,91,5,10,0.55,0.20519567041703082,0.0,1.0
Barista_Milk,1,93,5,10,0.75,0.6708203932499368,0.3333333333333333,1.0
Barista_Milk,1,108,5,10,0.55,0.22360679774997894,0.0,0.6666666666666666
Barista_Milk,1,109,5,10,0.4,-0.31622776601683794,0.0,0.0
Barista_Milk,1,110,5,10,0.75,0.6882472016116853,0.0,0.6666666666666666
Barista_Milk,1,118,5,10,0.5,0.10814761408717502,0.0,0.5
Barista_Milk,1,121,5,10,0.65,0.41039134083406165,0.0,1.0
Barista_Milk,1,123,5,10,0.7,0.7254762501100117,0.25,0.75
Barista_Milk,1,125,5,10,0.3,-0.5773502691896257,0.0,0.0
Barista_Milk,1,126,5,10,0.45,-0.10259783520851541,0.0,0.0
Barista_Milk,1,127,5,10,0.65,0.41039134083406165,0.0,0.5
Barista_Milk,1,129,5,10,0.6,0.2961744388795462,0.3333333333333333,1.0
Barista_Milk,1,130,5,10,0.25,-0.6708203932499368,0.0,0.0
Barista_Milk,1,132,5,10,0.45,0.051298917604257706,0.0,0.0
Barista_Milk,1,133,5,10,0.15,-0.8207826816681233,0.0,0.0
Barista_Milk,1,138,5,10,0.75,0.6668859288553501,0.0,1.0
Barista_Milk,1,139,5,10,0.9,0.9733285267845753,0.5,1.0
Barista_Milk,1,140,5,10,0.3,-0.49999999999999994,0.0,0.0
Barista_Milk,1,142,5,10,0.65,0.5642880936468347,0.0,1.0
Barista_Milk,1,143,5,10,0.55,-0.052631578947368425,0.0,0.0
Barista_Milk,1,144,5,10,0.75,0.6708203932499368,0.3333333333333333,1.0
Barista_Milk,1,145,5,10,0.4,-0.15811388300841897,0.0,0.0
Barista_Milk,1,150,5,10,0.4,-0.34412360080584264,0.3333333333333333,1.0
Barista_Milk,1,152,5,10,0.4,-0.15811388300841897,0.0,0.0
Barista_Milk,1,156,5,10,0.45,-0.08333333333333333,0.0,1.0
Barista_Milk,1,158,5,10,0.6,0.2894736842105264,0.5,1.0
Barista_Milk,1,159,5,10,0.45,-0.22941573387056177,0.0,0.0
Barista_Milk,1,160,5,10,0.4,-0.31622776601683794,0.0,0.0
Barista_Milk,1,161,5,10,0.65,0.35909242322980395,0.0,1.0
Barista_Milk,1,162,5,10,0.4,-0.2961744388795462,0.0,0.3333333333333333
Barista_Milk,1,164,5,10,0.35,-0.3354101966249684,0.0,0.3333333333333333
Barista_Milk,1,165,5,10,0.5,0.0,0.0,0.0
Barista_Milk,1,166,5,10,0.65,0.41039134083406165,0.0,1.0
