id,canonicalized_smiles,taste
98,NC(=O)CCC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
99,OCC1OC(OC2C(O)C(CO)OC2(O)CO)C(O)C(O)C1O,sweet
100,CCCCS,undefined
101,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)CCCO,sweet
102,CC1=CC(=O)C2CC1C2(C)C,undefined
103,COC(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCCCC1,sweet
104,CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
105,CC(=O)CCC1=C(C)C=CCC1(C)C,undefined
106,O=C1CC(c2ccccc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c21,sweet
107,CCCC(=O)NCCCCC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC,sweet
108,OCC(O)C(O)C(O)C(O)COCC1OC(OC2(CO)OC(COCC(O)C(O)C(O)C(O)CO)C(O)C2O)C(O)C(O)C1O,sweet
109,NCCCNP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)CC1O,sweet
110,Cc1ccc2c(c1)OC(=O)C2C,undefined
111,OCC1OC(OC2C(O)C(CO)OC(OF)C2O)C(O)C(O)C1O,sweet
112,COC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,sweet
113,OCC1OC(O)C(O)CC1O,sweet
114,COP(O)(=S)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet
115,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(O)(O)=S,sweet
116,COc1ccccc1[Se]CC(=O)O,sour
117,CCCCCCOS(=O)(=O)OC1OC(CO)C(O)C(O)C1O,sweet
118,CCCCCCCCOC1OC(CO)CC(O)C1O,sweet
119,CC(=O)OC(C)CCc1ccccc1,undefined
120,O=C(Oc1ccccc1)c1ccccc1O,sweet
121,CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
122,C=C1C(=O)OC2C1C(OC(=O)C(C)CO)CC1(CC)COC(=O)C(=C)C21,bitter
123,CCOC1C(COP(=O)(O)O)OC(n2cnc3c(N)ncnc32)C1O,sweet
124,OCC1OC(CO)(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C1O,sweet
125,C[Si](C)OC1C(O)OC(CO)C(O)C1O,sweet
126,OC1OCC(C2OC(O)C(O)OC2C2COC(O)C(O)O2)OC1O,sweet
127,CC(C=O)=Cc1ccccc1,sweet
128,CSCC(C=O)=Cc1ccccc1,undefined
129,CCOC(C)OCC,sweet
130,CC1OC(OC2C(Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet
131,Nc1ncnc2c1ncn2C1OC(C(O)P(=O)(O)O)C(O)C1(O)P(=O)(O)O,sweet
132,CCOC1=C(C)OC(C)C1=O,undefined
133,CCC(C)C(N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,sweet
134,CCc1nccs1,undefined
135,COc1cc(O)c2c(=O)c(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3O)c(-c3ccc(O)c(O)c3)oc2c1,sweet
136,CCCc1cc(=O)n2[nH]cnc2n1,sour
137,NCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
138,CC(=O)OCC(C)OC(C)=O,undefined
139,CC(=O)OC1C(OC2CCC3(C)C(CCC4(C)C3CCC3C5=CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)OC(C(=O)O)C(OC2OCC(O)C(O)C2O)C1O,sweet
140,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OCC(O)C(O)C3O)cc(OC3OC(CO)C(O)C(O)C3O)c12,sweet
141,N#Cc1ncc(Br)cn1,sweet
142,C=C1CC23CCC4C(CCCC4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,sweet
143,O=C(O)Cc1ccc(Cl)cc1,sour
144,CC1(C)OC(=O)C=CC2(C)C1CC(=O)C1(C)C2C(O)CC2(C)C(c3ccoc3)OC(=O)C3OC321,bitter
145,CCC(C)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)CC)C(=O)O,sweet
146,COc1cc(O)c2c(=O)c(OC3OC(C)C(O)C(O)C3O)c(-c3ccc(OC)c(OC)c3)oc2c1,sweet
147,[O-][N+]12CCCCC1CCCC2CO,bitter
148,O=C(O)CCC(=O)NCCOC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,sweet
149,CCCCC(=O)C(C)C,undefined
150,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)C(Br)P(=O)(O)OP(=O)(O)O)C(O)C1O,sweet
151,CC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(N)CO)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
152,CC(N)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)O,sweet
153,COC1OC(CO)C(O)C(O)C1OC1OC(C(O)CO)C(O)C1O,sweet
154,COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,bitter
155,Cc1ccc(OC(=O)Cc2ccccc2)cc1,undefined
156,CC1OC2OC(CO)C(O)C(O)C2O1,sweet
157,CCCCOC1OC(CO)CC(O)C1O,sweet
158,COC1(C)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O1,sweet
159,COc1cccc(OC)c1,sour
160,CCCCCCOC(C)OCCCCCC,sweet
161,OCC(O)COC1OC(CO)(CO)C(O)C(O)C1O,sweet
162,CC(N)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
163,COC(C(O)CO)C(CO)OC1OC(C)C(O)C(O)C1O,sweet
164,Nc1ncnc2c1nc(Br)n2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet
165,N#Cc1ccc(N=C(NCC(=O)O)Nc2cccc3ccccc23)cc1,sweet
166,CCCCCCCCCCCCCCCC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC,sweet
167,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OCC(O)C(OC6OC(C)C(O)C(O)C6O)C5OC5OC(C)C(O)C(O)C5O)C(O)CC34C)C2(C)C)C(O)C(O)C1O,sweet
168,CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,sweet
169,COC(=O)CC(C)(C(=O)O)c1ccccc1,sour
170,Cc1ccccn1,bitter
171,CCOC(=O)CCC(C)C,undefined
172,Cc1ccc(C)c(C)c1,undefined
173,CC1CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1C,sweet
174,OCC1OC(OC2(CO)OC3(CO)OOC3C2O)C(O)C(O)C1O,sweet
175,CC1(O)CC(N2CCCC2)=C(N2CCCC2)C1=O,bitter
176,CCCCCCCCOCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1OCCCCCCCC,sweet
177,OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(CO)OC1OC(CO)C(O)C(O)C1O,sweet
178,COCC1OC(OC)C(O)C(O)C1OC1(O)COC(CO)C(O)C1O,sweet
179,COC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O,sweet
180,NCCNc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,sweet
181,OCC1OC1CCCOC1CCCCO1,sweet
182,CC1OCC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet
183,CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C)C(=O)NC(CC(N)=O)C(=O)O,sweet
184,CC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,sour
185,NC(=O)Nc1ccc(OCC=CCBr)cc1,sweet
186,COC(=O)C(Cc1ccccc1)NC(=O)C(C(C)C)N(C(C)=O)C(=O)C(N)CC(C)C,sweet
187,CCCCOC(=O)OC1OC(CO)C(O)C(O)C1O,sweet
188,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O,sweet
189,O=S(=O)(NC1CCCCC1)NC1CCCCC1,sweet
190,CC(O)C(OC1OC(CO)C(O)C(O)C1O)C(CO)OC(O)OO,sweet
191,NC(=O)CCC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O,sweet
192,CCCC(=O)OCc1ccc(OC)cc1,sweet
193,COC(=O)CC(=O)OC,undefined
194,C=C(C=O)C1CCC(C)C1C=O,bitter
195,Nc1ccc(CC(=O)O)cc1,sour
196,COCC1CCC=C(C=NO)C1,bitter
197,CCCCCP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet
198,CC1=CC2OC(=O)CC2CC1,sweet
199,O=C(O)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)C(=O)O,sour
200,COC1C(O)OC(C)(OC)C(O)C1O,sweet
201,CC(C)CC(NC(=O)C(N)C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
202,CC(C)(C#N)C(=O)O,sour
203,O=c1c(-c2ccc(O)c(O)c2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,sweet
204,CCCC(=O)c1ccco1,undefined
205,COC1C(O)C(COP(=O)(O)CP(=O)(O)O)OC1n1cnc2c(N)ncnc21,sweet
206,C=CCOC(=O)C(C)=CC,undefined
207,CC1=CC2=CC(=O)CCC2CC1,undefined
208,Cc1cc2ccccc2c(C(=O)O)c1C,sour
209,CCCOc1ccc(NC(=O)Nc2ccc(OCCC)cc2)cc1,sweet
210,CCCCCOC1CC(O)C(O)C(CO)O1,sweet
211,CC1OC(OC2C(OC3C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)C(=O)CC56C)C4(C)C)OC(C(=O)O)C(O)C3O)OCC(O)C2O)C(O)C(O)C1O,sweet
212,CCCCCC(CC)OC(C)=O,undefined
213,CC(=CCO)COC1OC(COC(=O)Cc2ccc(O)c(O)c2)C(O)C(OC(=O)Cc2ccc(O)cc2)C1OC(=O)Cc1ccc(O)c(O)c1,bitter
214,OCC1OC(O)(COC2OC(CO)C(Cl)C(O)C2O)C(O)C1O,sweet
215,CCCOC1C(OC)OC(C)C(O)C1O,sweet
216,O=C(C=Cc1ccc(O)c(O)c1)NC(Cc1ccc(O)c(O)c1)C(=O)O,undefined
217,COc1cc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4O)cc3O2)ccc1OC1OCC(O)(CO)C1O,sweet
218,NC(=O)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
219,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(OC6OC(CO)C(O)C(O)C6O)C5OC(O)C(O)C(OC5OC(CO)C(O)C(O)C5O)C(O)C(C)I)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC(CO)OC(CO)C(O)CO)C1OC1OC(CO)C(O)C(O)C1O)C3,sweet
220,O=P(O)(O)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,sweet
221,O=C(O)c1ccc([N+](=O)[O-])c2ccccc12,sour
222,O=C(O)C1CCCCC1O,sour
223,CC1OC(OC2C(OC3C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CCC7(C(=O)O)CCC56C)C4(C)C)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet
224,COc1cc2c(c(O)c1OC)C(=O)CC(c1ccc(OC3OC(CO)C(O)C(O)C3O)cc1)O2,sweet
225,C=C1C(=O)OC2C1CC(O)C(C)=CCCC1(C)OC21,undefined
226,CC(C)CCN=C=S,undefined
227,CSCC1OC(O)(CSC)C(O)C1O,sweet
228,NC(=O)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,sweet
229,COC(=O)C(Cc1ccccc1)NCCNC(C)=O,sweet
230,COC(COC1OC(C)C(O)C(O)C1O)C(CO)OC(C)O,sweet
231,COc1ccc(-c2coc3cc(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)c(OC)c(O)c3c2=O)cc1O,sweet
232,CC(NC(=O)C(N)CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet
233,C=C1C(=O)OC2C=C(C)C(O)CC=C(C)CC(OC(=O)C(C)=CC)C12,bitter
234,COc1c(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,sweet
235,NCCNc1nc2c(N)ncnc2n1C1OC(COP(=O)(O)O)C(O)C1O,sweet
236,C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,sweet
237,CCN(CC)CCCN1C(=O)c2ccccc2S1(=O)=O,bitter
238,CC1(C)CCC2(C(=O)OC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,sweet
239,COc1c(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,sweet
240,Nc1nc(Cl)nc2c1ncn2C1OC(CO[P+](=O)[O-])C(O)C1O,sweet
241,COc1ccc(OC(C)C(=O)O)cc1,undefined
242,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,sweet
243,CCc1ccco1,sweet
244,CCC=CCCOC(=O)CC,undefined
245,CC(Cl)(CC([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],sour
246,COc1cc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)ccc1O,sweet
247,NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O,sweet
248,O=C(O)COc1ccccc1O,sour
249,COC1OC(CO)C(OC2CC(O)C(O)C(CO)O2)C(O)C1O,sweet
250,NC(=O)CC(N)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
251,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1OC1OCC(O)C(O)C1O,sweet
252,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,bitter
253,O=c1cnc2[nH]cnc(=O)c2[nH]1,sour
254,CC1OC(OC2C(C(=O)O)OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)C)C(OC3OCC(O)C(O)C3O)C2O)C(O)C(O)C1O,sweet
255,O=C(O)CNC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,sweet
256,CCC(CC(=O)OC)(C(=O)O)c1ccccc1,sour
257,Nc1ncnc2c1ncn2C1OC(C(OP(=O)(O)O)OP(=O)(O)O)C(O)C1O,sweet
258,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC4OC(CO)C(O)C(O)C4O)cc3o2)cc1,sweet
259,COC(=O)C=CC=CCCc1ccc2c(c1)OCO2,bitter
260,CCCCCOCC(O)COC1OC(CO)C(O)C(O)C1O,sweet
261,CC1=NOC(=O)C1=NNc1ccc(Cl)cc1,sour
262,CCCOC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,sweet
263,COc1ccc(/C=C/C(=O)O)cc1OC,sour
264,CCC(=O)N(C(=O)C(N)CC(N)=O)C(Cc1ccccc1)C(=O)O,sweet
265,COc1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1)C(=O)CC(c1ccc(OC)c(O)c1)O2,sweet
266,COc1c(C)c(OC2OC(CO)C(O)C(O)C2O)cc2c1C(=O)CC(c1ccc(O)c(O)c1)O2,sweet
267,C=CC1C(OC2OC(CO)C(O)C(O)C2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCCC21O,bitter
268,Nc1ncnc2c1ncn2C1OC(C(O)OP(=O)(O)O)C(O)C1O,sweet
269,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(OC(=O)O)C(O)C(O)C2O)cc1O,sweet
270,COc1ccc(CCC(=O)c2c(O)cc(OC3C(OC4C(O)OC(CO)C(O)C4O)OC(C)C(O)C3O)cc2O)cc1O,sweet
271,O=C(O)CCNC(=S)Nc1ccc([N+](=O)[O-])cc1,sweet
272,O=c1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2oc2ccc(O)c(O)c12,sweet
273,CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)O)C(C)C,sweet
274,C[As](C)(=O)CC1OC(OCC(O)C(O)C(O)C(O)CO)C(O)C1O,sweet
275,CC(O)CC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet
276,COc1cc(C(=O)OCC(C#N)=CCOC2OC(CO)C(O)C(O)C2O)ccc1O,undefined
277,COC1OC(COC2OC(CO)C(O)C(O)C(O)C2O)C(O)C(O)C1O,sweet
